method,k,time,silhouette,db_index,norm
smoothing,3,59.73481798171997,0.2340928651773084,1.1762352750203753,l1
smoothing,5,426.8581008911133,0.25842995606354524,1.7155057800035098,l1
smoothing,7,614.9992599487305,0.28760967290173634,1.1774562355879237,l1
lmbm,3,19.01688003540039,0.292549318978804,1.4030639649633088,l1
lmbm,5,32.624526023864746,0.2551885694166838,1.8203782096924421,l1
lmbm,7,43.62377095222473,0.23779503308226244,1.4733849323761365,l1
kmeans,3,0.027950763702392578,0.2899618724966764,1.1990818248324373,l1
kmeans,5,0.0029239654541015625,0.25872321244027874,1.5025207801102662,l1
kmeans,7,0.002134084701538086,0.29913068178865426,1.2496653533627173,l1
smoothing,3,9.250709056854248,0.30494741932302993,1.1083410402037985,l2
smoothing,5,52.86627697944641,0.22525910985595915,1.2430324889492717,l2
smoothing,7,97.55663418769836,0.2240922949422933,1.8647942697817013,l2
lmbm,3,40.14875793457031,0.29164939487358194,1.3642630638721958,l2
lmbm,5,55.983023166656494,0.2571261932531652,1.6386097659887828,l2
lmbm,7,58.10403776168823,0.24808474356127724,1.3352252800154183,l2
kmeans,3,0.0006802082061767578,0.2899618724966764,1.1990818248324373,l2
kmeans,5,0.0005598068237304688,0.25872321244027874,1.5025207801102662,l2
kmeans,7,0.0004851818084716797,0.29913068178865426,1.2496653533627173,l2
smoothing,3,1351.1848378181458,0.2536472809110065,1.6239773169155656,linf
smoothing,5,6502.314015865326,0.3158831212597765,1.2636668478599031,linf
smoothing,7,70342.33708691597,0.17861015545093184,1.6218628932211925,linf
lmbm,3,6.419859170913696,0.1956832436638499,1.6024207260447556,linf
lmbm,5,8.940836906433105,0.1988172714634925,2.1249779544135765,linf
lmbm,7,10.739167213439941,0.17393818144363596,1.9076529853610193,linf
kmeans,3,0.0011477470397949219,0.2899618724966764,1.1990818248324373,linf
kmeans,5,0.0005440711975097656,0.25872321244027874,1.5025207801102662,linf
kmeans,7,0.0005488395690917969,0.29913068178865426,1.2496653533627173,linf
